,Name,Rating,link
66,"Kimaya Ambience Banquet - Best Banquet Hall in Pandav Nagar, Ghaziabad",4.5,"https://www.google.com/maps/place/Kimaya+Ambience+Banquet+-+Best+Banquet+Hall+in+Pandav+Nagar,+Ghaziabad/data=!4m7!3m6!1s0x390cf398b99f8739:0x9bceb33f1531945f!8m2!3d28.6596718!4d77.4668433!16s%2Fg%2F11sz2h20d4!19sChIJOYefuZjzDDkRX5QxFT-zzps?authuser=0&hl=en&rclk=1"
67,"S K Ceremony , Hotel Green Palm",4.2,"https://www.google.com/maps/place/S+K+Ceremony+,+Hotel+Green+Palm/data=!4m7!3m6!1s0x390cfb6520227f11:0xfa232f18b65f8e51!8m2!3d28.6465644!4d77.3200581!16s%2Fg%2F124sqprmq!19sChIJEX8iIGX7DDkRUY5fthgvI_o?authuser=0&hl=en&rclk=1"
68,Star Heritage Farms,4.3,https://www.google.com/maps/place/Star+Heritage+Farms/data=!4m7!3m6!1s0x390cf103b0759feb:0xf41a0a219fcb6ad1!8m2!3d28.6968685!4d77.4270139!16s%2Fg%2F11c5swqw2z!19sChIJ6591sAPxDDkR0WrLnyEKGvQ?authuser=0&hl=en&rclk=1
69,Royal Orchid Banquet.,3.7,https://www.google.com/maps/place/Royal+Orchid+Banquet./data=!4m7!3m6!1s0x390cfa8604dc8d0b:0x658bf7d0c228cb7f!8m2!3d28.678445!4d77.367685!16s%2Fg%2F11fx91t_rg!19sChIJC43cBIb6DDkRf8sowtD3i2U?authuser=0&hl=en&rclk=1
70,Celebration Garden,3.9,https://www.google.com/maps/place/Celebration+Garden/data=!4m7!3m6!1s0x390cf066013c0323:0xb1cb4c4ee6519054!8m2!3d28.6755288!4d77.3959726!16s%2Fg%2F11b6p_wzm8!19sChIJIwM8AWbwDDkRVJBR5k5My7E?authuser=0&hl=en&rclk=1
71,Grand Petals Banquet hall,4.0,https://www.google.com/maps/place/Grand+Petals+Banquet+hall/data=!4m7!3m6!1s0x390cf101986b7c9d:0xd135dab96cba9379!8m2!3d28.6730666!4d77.4301566!16s%2Fg%2F11l6zxxzlt!19sChIJnXxrmAHxDDkReZO6bLnaNdE?authuser=0&hl=en&rclk=1
72,N R GRAND FARM HOUSE,4.1,https://www.google.com/maps/place/N+R+GRAND+FARM+HOUSE/data=!4m7!3m6!1s0x390cf216824ea523:0xcd4cd2acae1e1d28!8m2!3d28.6676162!4d77.4898134!16s%2Fg%2F11c54h7wnk!19sChIJI6VOghbyDDkRKB0erqzSTM0?authuser=0&hl=en&rclk=1
73,Aadhya Banquet,4.7,https://www.google.com/maps/place/Aadhya+Banquet/data=!4m7!3m6!1s0x390cf182f94a72f5:0x66c32242c5973773!8m2!3d28.6759061!4d77.4431711!16s%2Fg%2F11ll3n_dz3!19sChIJ9XJK-YLxDDkRczeXxUIiw2Y?authuser=0&hl=en&rclk=1
74,"Golden rivaah banquet- banquet hall, party hall, conference hall in indrapuram",4.0,"https://www.google.com/maps/place/Golden+rivaah+banquet-+banquet+hall,+party+hall,+conference+hall+in+indrapuram/data=!4m7!3m6!1s0x390cfb44e8ae9d31:0x7fa8a46921439d69!8m2!3d28.6451145!4d77.3529589!16s%2Fg%2F11t4c332bt!19sChIJMZ2u6ET7DDkRaZ1DIWmkqH8?authuser=0&hl=en&rclk=1"
75,Atithi Banquet,3.8,https://www.google.com/maps/place/Atithi+Banquet/data=!4m7!3m6!1s0x390ce554d4b559d7:0x127a74cb91fccf02!8m2!3d28.6380263!4d77.3757427!16s%2Fg%2F11gfm0wzn6!19sChIJ11m11FTlDDkRAs_8kct0ehI?authuser=0&hl=en&rclk=1
76,Rudrakshaa Banquet,4.3,https://www.google.com/maps/place/Rudrakshaa+Banquet/data=!4m7!3m6!1s0x390cfbccfc5bf003:0xb76f5b135a8b2c93!8m2!3d28.6503731!4d77.340276!16s%2Fg%2F11h2cc6xhm!19sChIJA_Bb_Mz7DDkRkyyLWhNbb7c?authuser=0&hl=en&rclk=1
